timestamp	hr								ecg
2025-11-19 18:25:47.175000+00:00									-143
2025-11-19 18:10:27.767000+00:00									-158
2025-11-19 18:13:34.931000+00:00									-408
2025-11-19 18:27:05.995000+00:00									202,192,-161,94,192,192,192,191,201,202,201,-368
2025-11-19 18:34:02.756000+00:00									-175,-173,-102,-184,-162,-168,-147,39,-166,-153,-234,-216
2025-11-19 18:09:12.768000+00:00									-163
2025-11-19 18:45:56.644000+00:00									-159,-254,-111,-279,-178,-231,-208,-215,-202,-242,-226,-185
2025-11-19 18:43:55.472000+00:00									-236,-357,189,187,186,188,189,189
2025-11-19 18:28:01.502000+00:00									42,158,191,191,192,191,191,196,191,191
2025-11-19 18:46:52.016000+00:00									-162,-207,-244,-195,-181,-66,-162,-145,-132,-141,-167
2025-11-19 18:19:37.321000+00:00									209,208,196,132,67,-246,-247,-145,-75,194,195
2025-11-19 18:29:48.117000+00:00									-276,-270,-273,-254,-245,-224,-138,-237,-184,-99,-24
2025-11-19 18:27:11.246000+00:00	69								24,-134,-115,-129,-171,-139,-133,-155,-188,-230,-242,-297,-233
2025-11-19 18:05:06.858000+00:00									-149,-184,-179,-214,-197,-176,-175,-186
2025-11-19 18:45:31.555000+00:00									67,-211,-288,-234,-255,-172,-113,-79,-91,-86,-26
2025-11-19 18:26:15.531000+00:00									-154
2025-11-19 18:14:10.256000+00:00									-111,-65,-162,-130,-115,-142,-96,-71,-36
2025-11-19 18:04:46.692000+00:00									-175,-183,-214,-219,-223,-228,-229,-240,-223,-227,-230
2025-11-19 18:46:16.725000+00:00									13,-15,-73,-23,-75,-75,-11,42,185,185,-71
2025-11-19 18:42:31.364000+00:00									-326,-286,-174,46,-31
2025-11-19 18:28:11.767000+00:00									-262,-284,-322,-350,-329,-176,-227,-150,-79,-27,-50,-79,-26
2025-11-19 18:04:27.069000+00:00									-92
2025-11-19 18:33:22.474000+00:00									-152
2025-11-19 18:15:13.166000+00:00	52								-85,-44,-167,-146,-166,-171,-259,-243,-174,-261,-225,-200,-185,-162,-146,-13,-113,-79,-52,-68,-62,-71,-54,-123,-101,-106,-88,-123,-119,-101,-184,-172,-165,-156,-187,-211,-146,-266,-225,-290
2025-11-19 18:06:07.846000+00:00									-19,-143,-148,-152,-150,-149,-147,-144,-156,-153
2025-11-19 18:25:29.153000+00:00									-153
2025-11-19 18:21:48.420000+00:00									-178
2025-11-19 18:19:32.345000+00:00									-82,-134,-144,-116,-80,-85,-117,-103,-165,-134,-155
2025-11-19 18:21:26.980000+00:00									-152
2025-11-19 18:19:17.137000+00:00									-38,-32,-32,-51,-87,-112,-68,-106,121,-162,-67
2025-11-19 18:04:36.733000+00:00									-73,-207,-225,-269,-245,-239,-195,-227,-245,-246,-238,-266,-274
2025-11-19 18:42:21.365000+00:00									-141,-411,-283,-230,-216,-162,-98,176,187
2025-11-19 18:04:56.870000+00:00									-133,-134,-137,-210,-191,-190,-191,-186,-163,-222,-228,-218
2025-11-19 18:07:33.058000+00:00	72								-107,-132,194,-142,-146,-158,-143,-125,-219,-255,-186
2025-11-19 18:34:39.686000+00:00									-148
2025-11-19 18:19:12.139000+00:00									-63,-36,56,103,154,193,195,140,87,73,28
2025-11-19 18:25:15.874000+00:00									-155
2025-11-19 18:28:06.595000+00:00									-506,-467,-496,-472,-112,147,192,192
